ProblemId,ProblemName,conv0,it0,conv1,it1,relation,isEffective,problem_id,id,size,split,path,rows,cols,nonzeros,posdef,nsym,psym,density,avg_nnz,max_nnz,std_nnz,avg_row_block_count,std_row_block_count,min_row_block_count,max_row_block_count,avg_row_block_size,std_row_block_size,min_row_block_size,max_row_block_size,block_count,nonzeros_relative,avg_nnz_relative,max_nnz_relative,std_nnz_relative,avg_row_block_count_relative,std_row_block_count_relative,min_row_block_count_relative,max_row_block_count_relative,avg_row_block_size_relative,std_row_block_size_relative,min_row_block_size_relative,max_row_block_size_relative,block_count_relative
1137-183-151,Sandia/oscil_dcop_26,1,49,1,68,0.720588235294118,0,1137-183-151,1137,183,151,/home/anna/.ssgetpy/MM/Sandia/oscil_dcop_26/oscil_dcop_26.mtx,0.04368421052631579,183,0.00024805054018662805,0,0.6349206349206349,1.0,0.0167517692376601,0.0026405959155617717,0.005664263645726055,0.002462382192325533,0.014149377339125732,0.017581114849780345,0.0,0.0215311004784689,0.00036772381726119966,0.0011388442872431214,0.0,0.0013324450366422385,0.0024979340395161896,0.0026405959155617717,0.021254423658511937,0.06510515152013417,0.02615776492831033,0.07434939080194454,0.08713734337571118,0.09101478686410602,0.18637797948305362,0.012798157099900766,0.012097886854648033,0.15529759387463016,0.015900159494878136,0.025670266336968613
193-124-99,HB/lnsp_511,1,40,0,0,0.0,0,193-124-99,193,124,99,/home/anna/.ssgetpy/MM/HB/lnsp_511/lnsp_511.mtx,0.01263157894736842,124,0.0002937557381101034,0,0.0,0.8505338078291815,0.0431841831425598,0.004615390744679338,0.005149330587023687,0.0042877450339503095,0.043775028715907965,0.035136467331522106,0.0,0.023923444976076555,0.00013165825957298303,0.0006459369704899965,0.0,0.0013324450366422385,0.0036248215761400344,0.004615390744679338,0.05481166269284867,0.08825266120943479,0.0672207769838659,0.2416239616168291,0.2570072670634504,0.1386817354410075,0.30363923659212355,0.015614078190795131,0.010126624763165514,0.23663121752406283,0.02370417704727085,0.05494970518098449
338-201-404,Bai/tub1000,1,46,1,53,0.867924528301887,0,338-201-404,338,201,404,/home/anna/.ssgetpy/MM/Bai/tub1000/tub1000.mtx,0.053157894736842105,201,0.00035366060917485254,0,0.0,1.0,0.0197767381995495,0.003425204025352265,0.001544799176107106,0.00029396885507171333,0.011759502363388142,0.001446528350700608,0.0,0.0023923444976076554,0.0009193037974683545,0.0014884547652989836,0.0,0.0013324450366422385,0.002491673553201613,0.003425204025352265,0.025094769337525216,0.01940897318822145,0.00284316146397693,0.06091318566289458,0.006527394877252481,0.08204331968950043,0.03252621096969167,0.016906191478122695,0.014395801312145363,0.1399896717913567,0.0144313537627809,0.023308320018657718
2729-1309-861,VDOL/reorientation_8,1,150,0,0,0.0,0,2729-1309-861,2729,1309,861,/home/anna/.ssgetpy/MM/VDOL/reorientation_8/reorientation_8.mtx,0.6363157894736842,1309,0.0025089047481488286,0,1.0,1.0,0.003300882822745,0.003723443100758693,0.6714727085478888,0.05724884573388198,0.02769037207441177,0.020379141201896513,0.0,0.011961722488038277,0.00027559333434730535,0.018139943937956513,0.0,0.4870086608927382,0.02724563644103874,0.003723443100758693,0.004177867114224896,0.9969426997570252,0.08502044011204461,0.013243899099736738,0.014120667465903148,0.00483889857959171,0.014052811587546368,0.000879898531459978,0.02693968755950139,0.008256562832322787,0.5589844399508687,0.03899326882502101
1025-1486-203,Sandia/adder_dcop_42,1,146,0,0,0.0,0,1025-1486-203,1025,1486,203,/home/anna/.ssgetpy/MM/Sandia/adder_dcop_42/adder_dcop_42.mtx,0.7294736842105263,1486,0.0024694119072246608,0,0.0019555120997311,0.560254216572965,0.0025210624419209,0.003227811585966364,0.004634397528321318,0.0027539343723585906,0.025358303531930162,0.02232981748968603,0.0,0.019138755980861243,0.0001826949632946668,0.0006881004774066427,0.0,0.002664890073284477,0.0290736984448952,0.003227811585966364,0.003187847094966987,0.00623134544953844,0.003602724374067873,0.010423234092546887,0.013629356702020754,0.0031706801110533687,0.019122882073173978,0.0005465990998861995,0.0009001798977646491,0.005410098832928468,0.002864920467998899,0.036649142162446115
3-431-148,HB/662_bus,1,160,1,80,2.0,1,3-431-148,3,431,148,/home/anna/.ssgetpy/MM/HB/662_bus/662_bus.mtx,0.17421052631578948,431,0.0006305542354296932,1,1.0,1.0,0.0076603808119034,0.002844220677926105,0.004634397528321318,0.002488850645793049,0.02422387014027276,0.020374353306865853,0.0,0.01674641148325359,7.949746818490803e-05,0.000485899743285445,0.0,0.001998667554963358,0.008188716099466607,0.002844220677926105,0.009712462502229959,0.022711987470532245,0.011225813585664917,0.04245242909591638,0.04287612778424179,0.033369814484660996,0.062168608458002046,0.0036172930177607436,0.0021916220439602524,0.056938570929669294,0.008783892280088551,0.03562702617674842
1548-1423-3587,Schenk_IBMNA/c-29,1,1,1,51,0.0196078431372549,0,1548-1423-3587,1548,1423,3587,/home/anna/.ssgetpy/MM/Schenk_IBMNA/c-29/c-29.mtx,0.6963157894736842,1423,0.0006305542354296932,0,1.0,1.0,0.0007027406886858,0.000858764406545089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008896151053013798,0.000858764406545089,0.0008793989171282684,0.00020158860277248296,0.0,0.0013057353558434959,0.0,0.0037168842093603916,0.000693579191977565,0.0003609777280474183,0.0,0.006342081262972428,0.00020158860277248296,0.011686242046231362
223-634-24,HB/nos7,1,74,1,63,1.17460317460317,0,223-634-24,223,634,24,/home/anna/.ssgetpy/MM/HB/nos7/nos7.mtx,0.2810526315789474,634,0.0017616469490892906,1,1.0,1.0,0.0098816785916866,0.005400512043155158,0.003089598352214212,0.0012585133189916024,0.0414407674396488,0.009761554415674941,0.05555555555555555,0.009569377990430622,0.0003646276886698007,0.0011397399735483618,0.0,0.0013324450366422385,0.01780482307865675,0.005400512043155158,0.012532508406127102,0.010545042066261858,0.0038589115017659244,0.042635856844212755,0.013964928471135625,0.048666820358529816,0.025421960577499934,0.0030457948708377744,0.003494723199649653,0.03369941259432954,0.0042327297349461735,0.05264272264699883
1545-1962-2311,Schenk_IBMNA/c-26,1,396,1,51,7.76470588235294,1,1545-1962-2311,1545,1962,2311,/home/anna/.ssgetpy/MM/Schenk_IBMNA/c-26/c-26.mtx,0.98,1962,0.001025038904885708,0,1.0,1.0,0.0006006062174173,0.001012648937706627,0.0005149330587023687,0.0006085004373378253,0.0021188536752681764,0.005579547884486736,0.0,0.0023923444976076554,0.0,0.0,0.0,0.0,0.014461723386672677,0.001012648937706627,0.0007497342229261496,0.0005183746959533275,0.0006029178645179433,0.0006438553225057103,0.002579342415841628,0.00017753856791733217,0.0017835031237688676,1.5104425635575245e-05,0.0,0.00030293223076680893,8.435091206392958e-06,0.013780334284589807
307-279-69,Bai/ck400,1,121,1,54,2.24074074074074,1,307-279-69,307,279,69,/home/anna/.ssgetpy/MM/Bai/ck400/ck400.mtx,0.09421052631578947,279,0.000737939263560577,0,0.0028860028860028,0.9797979797979798,0.0213897560411608,0.005144101118194529,0.004634397528321318,0.004198477683752568,0.0338024534893566,0.014816870547244785,0.05555555555555555,0.009569377990430622,0.0005084732783508313,0.0007411638332463238,0.0,0.0006662225183211193,0.006704980842911878,0.005144101118194529,0.02714257418321003,0.03535876446543937,0.029253909022275735,0.0860818294158479,0.048168295347778195,0.1222541429936016,0.059964377597467054,0.009066174503208804,0.005164238321974371,0.09648005812814849,0.006670549282255441,0.045093671882354865
